pocket,displacement,tanimoto,recall
complex_000145,2.0,0.6,0.6666666666666666
complex_000145,2.0,0.6363636363636364,0.7777777777777778
complex_000145,2.0,0.5555555555555556,0.5555555555555556
complex_000145,2.0,0.5454545454545454,0.6666666666666666
complex_000145,2.0,0.2,0.2222222222222222
complex_000145,2.0,0.3333333333333333,0.3333333333333333
complex_000145,2.0,0.5,0.5555555555555556
complex_000145,2.0,0.8,0.8888888888888888
complex_000145,2.0,0.3333333333333333,0.3333333333333333
complex_000145,2.0,0.3333333333333333,0.3333333333333333
complex_000145,2.0,0.8,0.8888888888888888
complex_000145,2.0,0.2,0.2222222222222222
complex_000145,3.0,0.2222222222222222,0.2222222222222222
complex_000145,3.0,0.4166666666666667,0.5555555555555556
complex_000145,3.0,0.38461538461538464,0.5555555555555556
complex_000145,3.0,0.42857142857142855,0.6666666666666666
complex_000145,3.0,0.4,0.4444444444444444
complex_000145,3.0,0.5384615384615384,0.7777777777777778
complex_000145,3.0,0.18181818181818182,0.2222222222222222
complex_000145,3.0,0.46153846153846156,0.6666666666666666
complex_000145,3.0,0.5,0.6666666666666666
complex_000145,3.0,0.3333333333333333,0.4444444444444444
complex_000145,3.0,0.6,0.6666666666666666
complex_000145,3.0,0.1,0.1111111111111111
complex_000148,0.5,0.8333333333333334,0.8333333333333334
complex_000148,0.5,0.7142857142857143,0.8333333333333334
complex_000148,0.5,0.6666666666666666,0.6666666666666666
complex_000148,0.5,0.8333333333333334,0.8333333333333334
complex_000148,0.5,0.8333333333333334,0.8333333333333334
